StartPt_SR1 , XXXX-01-01 , 1 , 10.0
StartPt_SR1 , XXXX-02-01 , 1 ,  8.0
StartPt_SR1 , XXXX-03-01 , 1 , 12.0
StartPt_SR1 , XXXX-04-01 , 1 , 10.0
StartPt_SR1 , XXXX-05-01 , 1 , 10.0
StartPt_SR1 , XXXX-06-01 , 1 , 11.0
SR1_J1      , XXXX-01-01 , 1 , 15.0
SR1_J1      , XXXX-02-01 , 1 , 10.0
SR1_J1      , XXXX-03-01 , 1 , 14.0
SR1_J1      , XXXX-04-01 , 1 , 13.0
SR1_J1      , XXXX-05-01 , 1 , 15.0
SR1_J1      , XXXX-06-01 , 1 , 15.0
SR1_Ag1     , XXXX-01-01 , 1 , 10.0
SR1_Ag1     , XXXX-02-01 , 1 ,  5.0
SR1_Ag1     , XXXX-03-01 , 1 ,  6.0
SR1_Ag1     , XXXX-04-01 , 1 , 10.0
SR1_Ag1     , XXXX-05-01 , 1 ,  5.0
SR1_Ag1     , XXXX-06-01 , 1 , 10.0
J1_Urb1     , XXXX-01-01 , 1 , 25.0
J1_Urb1     , XXXX-02-01 , 1 , 31.0
J1_Urb1     , XXXX-03-01 , 1 , 29.0
J1_Urb1     , XXXX-04-01 , 1 , 30.0
J1_Urb1     , XXXX-05-01 , 1 , 24.0
J1_Urb1     , XXXX-06-01 , 1 , 26.0
J1_EndPt    , XXXX-01-01 , 1 , 10.0
J1_EndPt    , XXXX-02-01 , 1 ,  7.0
J1_EndPt    , XXXX-03-01 , 1 ,  9.0
J1_EndPt    , XXXX-04-01 , 1 ,  8.0
J1_EndPt    , XXXX-05-01 , 1 ,  9.0
J1_EndPt    , XXXX-06-01 , 1 ,  9.0
